"world_id","world_type","model_id","model_type","hidden_dim","readout_only","n_runs","delta_nll_mean","delta_nll_min","delta_nll_max","delta_nll_p_perm_mean","probe_r2_trained_mean","probe_r2_trained_min","probe_r2_trained_max","probe_r2_random_mean","probe_r2_random_min","probe_r2_random_max","probe_r2_permuted_mean","probe_r2_permuted_min","probe_r2_permuted_max"
"E2_regime_null","regime_null","rnn_tanh","rnn_tanh","16","False","1","-0.001824","-0.001824","-0.001824","0.969515","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"E2_regime_struct","regime_markov","gru","gru","16","False","4","15.911274","15.823171","15.954137","0.032984","0.795334","0.785905","0.806293","-7.6E-05","-0.000168","2.2E-05","-0.017352","-0.032435","-0.010832"
"E2_regime_struct","regime_markov","rnn_tanh","rnn_tanh","16","False","5","0.079072","-58.375425","14.881328","0.226387","0.329011","0.004136","0.447875","-4.5E-05","-0.000131","2.6E-05","-0.008074","-0.014865","-0.004239"
"E3_osc_nonstat","oscillator_nonstat","gru","gru","16","False","1","0.691103","0.691103","0.691103","0.032984","0.995504","0.995504","0.995504","-4E-05","-4E-05","-4E-05","-0.00043","-0.00043","-0.00043"
"E3_osc_nonstat","oscillator_nonstat","rnn_tanh","rnn_tanh","16","False","1","0.660688","0.660688","0.660688","0.032984","0.996058","0.996058","0.996058","-0.000857","-0.000857","-0.000857","-0.000253","-0.000253","-0.000253"
"E3_osc_null","oscillator_null","gru","gru","16","False","1","1.027476","1.027476","1.027476","0.032984","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"E3_osc_null","oscillator_null","rnn_tanh","rnn_tanh","16","False","1","0.004347","0.004347","0.004347","0.248376","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"E3_osc_struct","oscillator","gru","gru","2","False","1","0.613112","0.613112","0.613112","0.032984","0.974002","0.974002","0.974002","-5.3E-05","-5.3E-05","-5.3E-05","-1.1E-05","-1.1E-05","-1.1E-05"
"E3_osc_struct","oscillator","gru","gru","4","False","1","0.657388","0.657388","0.657388","0.032984","0.996233","0.996233","0.996233","-0.000157","-0.000157","-0.000157","-0.001024","-0.001024","-0.001024"
"E3_osc_struct","oscillator","gru","gru","8","False","1","0.66766","0.66766","0.66766","0.032984","0.996455","0.996455","0.996455","-0.000109","-0.000109","-0.000109","-0.002271","-0.002271","-0.002271"
"E3_osc_struct","oscillator","gru","gru","16","False","8","-25.847167","-112.101978","0.676023","0.274738","0.993968","0.985413","0.99627","-3.1E-05","-8.1E-05","1.5E-05","-0.000322","-0.00039","-6.3E-05"
"E3_osc_struct","oscillator","gru","gru","16","True","1","0.343144","0.343144","0.343144","0.032984","0.991666","0.991666","0.991666","-8.2E-05","-8.2E-05","-8.2E-05","-6.3E-05","-6.3E-05","-6.3E-05"
"E3_osc_struct","oscillator","gru","gru","32","False","1","0.672947","0.672947","0.672947","0.032984","0.99849","0.99849","0.99849","-2.7E-05","-2.7E-05","-2.7E-05","-0.000125","-0.000125","-0.000125"
"E3_osc_struct","oscillator","rnn_tanh","rnn_tanh","2","False","1","0.460272","0.460272","0.460272","0.032984","0.759467","0.759467","0.759467","-3.5E-05","-3.5E-05","-3.5E-05","-0.000247","-0.000247","-0.000247"
"E3_osc_struct","oscillator","rnn_tanh","rnn_tanh","4","False","1","0.61208","0.61208","0.61208","0.032984","0.994338","0.994338","0.994338","-0.000212","-0.000212","-0.000212","-0.000415","-0.000415","-0.000415"
"E3_osc_struct","oscillator","rnn_tanh","rnn_tanh","8","False","1","0.623724","0.623724","0.623724","0.032984","0.995201","0.995201","0.995201","-0.000229","-0.000229","-0.000229","-0.000427","-0.000427","-0.000427"
"E3_osc_struct","oscillator","rnn_tanh","rnn_tanh","16","False","9","-24.285827","-113.546353","0.654065","0.258149","0.992602","0.984485","0.995715","-0.000379","-0.000964","2.2E-05","-0.000242","-0.000513","-0.000112"
"E3_osc_struct","oscillator","rnn_tanh","rnn_tanh","16","True","1","-0.077576","-0.077576","-0.077576","0.75962","0.980347","0.980347","0.980347","-0.000778","-0.000778","-0.000778","-0.000206","-0.000206","-0.000206"
"E3_osc_struct","oscillator","rnn_tanh","rnn_tanh","32","False","1","0.659642","0.659642","0.659642","0.032984","0.998119","0.998119","0.998119","1.6E-05","1.6E-05","1.6E-05","-0.000183","-0.000183","-0.000183"
